longitude,latitude,name,description
83753763,12007357,Bluefields,Bluefields (Nicaragua)
83033571,9965072,Puerto Limon,Puerto Limon (Costa Rica)
79731818,9453631,Maria Chiquita,Maria Chiquita (Panama)
77919160,9133545,Ustupo,Ustupo (Panama)
75490684,10406929,Cartagena,Cartagena (Colombia)
72923041,11579416,Riohacha,Riohacha (Colombia)
70226668,11708146,Punto Fijo,Punto Fijo (Venezuela)
68935888,12097816,Willemstad,Willemstad (Netherlands Antilles)
66009889,18454298,San Juan,San Juan (Puerto Rico)
68333988,18562153,Punta Cana,Punta Cana (Dominican Republic)
70692880,19797266,Puerto Plata,Puerto Plata (Dominican Republic)
72248078,21773446,Providenciales,Providenciales (Turks and Caicos Islands)
74269488,22180512,Crooked Island,Crooked Island (Bahamas)
75490684,24403715,Cat Island,Cat Island (Bahamas)
77341614,25071719,Nassau,Nassau (Bahamas)
56688758,36448224,Las Toninas,Las Toninas (Argentina)
38476134,3750140,Fortaleza,Fortaleza (Brazil)
9478696,38711470,Lisbon,Lisbon (Portugal)
6129413,36283613,Conil,Conil (Spain)
64882166,17765134,Hams Bluff,Hams Bluff (Virgin Islands)
60995508,14027354,Port Castries,Port Castries (St Lucia)
59614429,13086573,Bridgetown,Bridgetown (Barbados)
80066904,26374285,Boca Raton,Boca Raton (USA)
64654509,32361730,St David's,St David's (Bermuda)
66789376,10625702,Punta Gorda,Punta Gorda (Venezuela)
43275557,23000684,Rio de Janeiro,Rio de Janeiro (Brazil)
136879350,34322629,Shima,Shima (Japan)
139974752,35005963,Maruyama,Maruyama (Japan)
144800679,13529724,Tumon,Tumon (Guam)
144812489,13553344,Tanguisson,Tanguisson (Guam)
35551732,33904743,Beirut,Beirut (Lebanon)
27978140,43194954,Varna,Varna (Bulgaria)
30764921,46395339,Odesa,Odesa (Ukraine)
37786097,44632480,Novorossiysk,Novorossiysk (Russia)
114209483,22215960,Chung Hom Kok,Chung Hom Kok (Hong Kong)
120612291,14071560,Nasugbu,Nasugbu (Philippines)
120646816,22256900,Fangshan,Fangshan (Taiwan)
121395883,25184643,Tamsui,Tamsui (Taiwan)
121888174,30918752,Nanhui District,Nanhui District (China)
106762480,10139732,Vung Tau,Vung Tau (Vietnam)
155781865,20220886,Hawaii,Hawaii (USA)
118240908,34022631,Los Angeles,Los Angeles (USA)
118390039,33856869,Redondo Beach,Redondo Beach (USA)
122988333,45523056,Hillsboro,Hillsboro (USA)
33599431,34823669,Pentaskhinos,Pentaskhinos (Cyprus)
34021591,34978875,Ayia Napa,Ayia Napa (Cyprus)
35092620,33037659,Nahariya,Nahariya (Israel)
80028487,26750654,West Palm Beach,West Palm Beach ()
64963674,18379470,Magens Bay,Magens Bay (Virgin Islands)
15445367,28130900,Las Palmas de Gran Canaria,Las Palmas de Gran Canaria (Gran Canaria (Spain))
13093139,38179411,Palermo,Palermo (Italy)
80119764,26021040,Hollywood,Hollywood (USA)
25666861,37746250,Ponta Delgada,Ponta Delgada (Azores)
12545711,37635948,Mazara del Vallo,Mazara del Vallo (Italy)
124384500,43251167,Bandon,Bandon (USA)
120849217,35228182,San Luis Obispo (AT&T),San Luis Obispo (AT&T) (USA)
127675053,26212411,Okinawa,Okinawa (Japan)
1621617,52187583,Thorpeness,Thorpeness (United Kingdom)
3224700,51349050,Bruges,Bruges (Belgium)
4604020,52549315,Castricum,Castricum (Netherlands)
20345800,63610533,Landeyjarsandur,Landeyjarsandur (Iceland)
101455805,1686016,Dumai,Dumai (Indonesia)
102241384,2189096,Malacca Town,Malacca Town (Malaysia)
114269989,22291633,Tseung Kwan O,Tseung Kwan O (Hong Kong)
120348843,36039253,Qingdao,Qingdao (China)
121574712,25279926,Pali,Pali (Taiwan)
120809694,14368311,Capepisa,Capepisa (Philippines)
126189523,36831134,Taean,Taean (South Korea)
140616147,36380301,Ajigaura,Ajigaura (Japan)
64575605,18458356,Tortola,Tortola (British Virgin Islands)
63159390,18171611,Anguilla,Anguilla (Anguilla)
62986468,18095000,St Martin,St Martin (Netherlands Antilles)
62733333,17300000,Basseterre,Basseterre (Saint Kitts and Nevis)
61877421,17125891,Dickenson Bay,Dickenson Bay (Antigua)
62229110,16715996,Montserrat,Montserrat (Montserrat)
61750000,16016667,Baillif,Baillif (Guadeloupe)
61390278,15337500,Canefield,Canefield (Dominica)
61230974,14816035,Martinique,Martinique (Martinique)
61079940,13892321,St. Lucia,St. Lucia (St. Lucia)
61233333,13166667,Kingstown,Kingstown (St. Vincent)
61749742,12141205,Port Salines,Port Salines (Grenada)
61388574,10781901,Trinidad,Trinidad (Trinidad)
6933033,62235383,Funningsfj�r�ur,Funningsfj�r�ur (Faroe Islands)
21944060,64068344,Reykjav�k,Reykjav�k (Iceland)
13977317,65283200,Sey�isfj�r�ur,Sey�isfj�r�ur (Iceland)
